id,match_type,target_type,from_scheme,from_url,to_scheme,to_url,cms_page,static_page,status_code,requirements,from_date,to_date,ignore_query_parameters
1,exact,static_page,auto,/hotels,auto,,,oteli,301,,,,
2,exact,static_page,auto,/price,auto,,,ceny,301,,,,
3,exact,static_page,auto,/about,auto,,,o-kompanii,301,,,,
4,exact,static_page,auto,/contacts,auto,,,kontakty,301,,,,
5,exact,static_page,auto,/discount,auto,,,discount,301,,,,
6,exact,static_page,auto,/prilozhenie,auto,,,prilozhenie,301,,,,
7,exact,static_page,auto,/menu,auto,,,menu,301,,,,
8,exact,static_page,auto,/programmy,auto,,,programmy,301,,,,
9,exact,path_or_url,auto,/prosvet/,auto,/hotels/prosveshcheniya/,,,301,[],,,1
10,exact,path_or_url,auto,/bogatirskiy/,auto,/hotels/bogatyrskom/,,,301,[],,,1
11,exact,path_or_url,auto,/petrogradkaya/,auto,/hotels/petrogradskoj/,,,301,[],,,1
12,exact,path_or_url,auto,/kupchino/,auto,/hotels/budapeshtskoj/,,,301,[],,,1
13,exact,path_or_url,auto,/hotels/mini-otel-na-zvezdnoy/,auto,/hotels/zvezdnoj/,,,301,[],,,1
14,exact,path_or_url,auto,/vasileostrovskaya/,auto,/hotels/vasilyevskom/,,,301,[],,,1
15,exact,path_or_url,auto,/marata-3/,auto,/hotels/marata3/,,,301,[],,,1
16,exact,path_or_url,auto,/vladimirskaya-2/,auto,/hotels/marata2/,,,301,[],,,1
17,exact,path_or_url,auto,/vladimirskaya/,auto,/hotels/marata/,,,301,[],,,1
18,exact,path_or_url,auto,/kosigina/,auto,/hotels/kosygina/,,,301,[],,,1
19,exact,path_or_url,auto,/zhukovskogo/,auto,/hotels/zhukovskogo/,,,301,[],,,1
20,exact,path_or_url,auto,/dybenko/,auto,/hotels/dybenko/,,,301,[],,,1
21,exact,path_or_url,auto,/rybackoe/,auto,/hotels/rybackom/,,,301,[],,,1
22,exact,path_or_url,auto,/narvskaya/,auto,/hotels/narvskoj/,,,301,[],,,1
23,exact,path_or_url,auto,/southwest/,auto,/hotels/zhukova/,,,301,[],,,1
24,exact,cms_page,auto,/privacy-app/,auto,,privacy-policy,,301,,,,
25,exact,path_or_url,auto,/stocks/stock/zagruzi-i-poluchi-vip-kartu/,auto,/prilozhenie/,,,301,[],,,
26,exact,path_or_url,auto,/news/post/komfortnaya-samoizolyaciya/,auto,/stocks/stock/vip/,,,301,[],,,
27,exact,path_or_url,auto,/news/post/ceny-na-petrogradskoj-narvskoj-i-v-rybackom-snizheny/,auto,/stocks/stock/ceny-na-petrogradskoj-snizheny/,,,301,[],,,
28,exact,path_or_url,auto,/news/post/snizheny-ceny-po-tarifu-nochnoj/,auto,/stocks/stock/snizheny-ceny-po-tarifu-nochnoj/,,,301,[],,,
29,exact,path_or_url,auto,/news/post/novyj-tarif-dnevnoj/,auto,/stocks/stock/tarif-dnevnoj/,,,301,[],,,
